,ID,Plant_rich,pH,EC,Plant_cove,Clay_silt,Total_P,TON,SOC,elevation,slope,aspect,cheight,Latitude_c,Longitude_,th_crossed,year_all,crossed_yr,geometry_x,Location_x,Vegetation_x,Plant_cover,STE,RWC,ARIDITY,BS_Tst
0,548,14,6.742,81.84,56.3825,15.0833,1035.0683,1.0276,9.4633,234.626129150391,4.33230208363596,89.7841693075355,0.01,-30.6623,-71.6636,3,2007,2018,"POLYGON ((-71.66359981035633 -30.66220940829356, -71.66359401258508 -30.6622095465946, -71.66356506787224 -30.66221451561987, -71.66353888865405 -30.66222624119381, -71.66351755879261 -30.66224378996296, -71.66350277614465 -30.662265765048, -71.66349571741209 -30.66229041723452, -71.66349694447565 -30.66231578420976, -71.66350635966735 -30.66233984676223, -71.663523213543 -30.66236068951113, -71.66354616453629 -30.66237665337112, -71.6635733857468 -30.66238646761623, -71.66360271036179 -30.66238935103064, -71.6636318041357 -30.66238507409394, -71.66365835119819 -30.66237397725122, -71.66368023839915 -30.66235694381327, -71.66369572351678 -30.66233532964448, -71.66370357393855 -30.66231085523509, -71.66370316477631 -30.6622854687495, -71.6636945286057 -30.66226119095189, -71.66367835287116 -30.66223995435342, -71.66365592516365 -30.66222344938483, -71.66362903072773 -30.66221298983895, -71.66359981035633 -30.66220940829356))",Chile,Shrubland,56.3825,Loamy Sand,100,0.8817,43.6175
1,549,9,6.58,301.4,59.6675,24.2732,598.8024,1.087,15.5073,236.75715637207,5.1479364465407,71.3237025769914,0.01,-30.6609,-71.6642,3,2007,2018,"POLYGON ((-71.66420178899854 -30.66080925056279, -71.66419599131129 -30.66080938886382, -71.66416704701778 -30.66081435788911, -71.66414086817885 -30.66082608346304, -71.66411953862644 -30.66084363223218, -71.66410475619264 -30.66086560731722, -71.66409769756234 -30.66089025950376, -71.66409892460813 -30.66091562647898, -71.66410833966344 -30.66093968903146, -71.66412519329491 -30.66096053178036, -71.66414814395569 -30.66097649564033, -71.66417536477185 -30.66098630988544, -71.66420468896197 -30.66098919329987, -71.6642337823144 -30.66098491636317, -71.66426032899227 -30.66097381952045, -71.66428221587614 -30.6609567860825, -71.66429770076944 -30.6609351719137, -71.66430555107746 -30.66091069750432, -71.66430514192115 -30.66088531101873, -71.66429650587567 -30.66086103322112, -71.66428033037546 -30.66083979662265, -71.66425790299287 -30.66082329165407, -71.6642310089466 -30.66081283210816, -71.66420178899854 -30.66080925056279))",Chile,Shrubland,59.6675,Sandy Loam,100,0.8817,40.3325
2,550,12,6.216,264.8,57.2825,26.1981,384.3838,1.9806,22.3932,234.626129150391,4.33230208363596,89.7841693075355,0.01,-30.6625,-71.6636,3,2007,2018,"POLYGON ((-71.66359981035633 -30.66241006784097, -71.66359401257306 -30.66241020614201, -71.66356506780011 -30.66241517516728, -71.66353888852753 -30.66242690074123, -71.66351755862182 -30.66244444951036, -71.66350277594317 -30.6624664245954, -71.66349571719596 -30.66249107678193, -71.66349694426206 -30.66251644375716, -71.66350635947333 -30.66254050630964, -71.66352321338397 -30.66256134905855, -71.6635461644249 -30.66257731291851, -71.66357338569195 -30.66258712716364, -71.66360271036781 -30.66259001057804, -71.66363180420214 -30.66258573364135, -71.66365835131974 -30.66257463679863, -71.66368023856616 -30.66255760336069, -71.66369572371593 -30.66253598919189, -71.663703574154 -30.6625115147825, -71.66370316499091 -30.66248612829692, -71.66369452880238 -30.6624618504993, -71.66367835303423 -30.66244061390082, -71.66365592528015 -30.66242410893224, -71.6636290307884 -30.66241364938635, -71.66359981035633 -30.66241006784097))",Chile,Shrubland,57.2825,Loamy Sand,100,0.8817,42.3
3,551,14,6.8,126.1,35.025,24.9153,414.7007,2.7691,20.5607,380.919891357422,15.4425045166765,20.2416547952102,0.01,-31.2002,-71.5847,3,2007,2018,"POLYGON ((-71.58470047631666 -31.20011076837073, -71.58469464583709 -31.20011090667177, -71.58466553783147 -31.20011587569695, -71.58463921092201 -31.20012760127068, -71.58461776072694 -31.20014515003957, -71.58460289468151 -31.2001671251244, -71.58459579612617 -31.20019177731081, -71.58459703011169 -31.20021714428606, -71.5846064984193 -31.20024120683869, -71.58462344737687 -31.20026204958783, -71.58464652784966 -31.20027801344804, -71.58467390263064 -31.20028782769334, -71.58470339268273 -31.20029071110781, -71.58473265059143 -31.20028643417104, -71.58475934742108 -31.20027533732812, -71.58478135810005 -31.20025830388991, -71.58479693057761 -31.2002366897209, -71.58480482528749 -31.20021221531138, -71.58480441381634 -31.2001868288258, -71.58479572892379 -31.20016255102833, -71.58477946193264 -31.20014131443009, -71.58475690769801 -31.20012480946175, -71.58472986153593 -31.20011434991604, -71.58470047631666 -31.20011076837073))",Chile,Shrubland,35.025,Loamy Sand,100,0.8459,64.975
4,552,12,6.636,117.42,30.9667,39.5126,232.807,1.9869,6.2159,380.919891357422,15.4425045166765,20.2416547952102,0.01,-31.2001,-71.5849,3,2007,2018,"POLYGON ((-71.58490113586406 -31.20000820904651, -71.5848953053908 -31.20000834734754, -71.58486619741676 -31.20001331637273, -71.58483987053582 -31.20002504194646, -71.584818420364 -31.20004259071534, -71.58480355433468 -31.20006456580017, -71.58479645578706 -31.20008921798658, -71.58479768977124 -31.20011458496184, -71.58480715806859 -31.20013864751446, -71.58482410700776 -31.2001594902636, -71.58484718745554 -31.20017545412381, -71.58487456220685 -31.20018526836911, -71.58490405222697 -31.20018815178359, -71.58493331010396 -31.20018387484681, -71.58496000690468 -31.20017277800388, -71.58498201755977 -31.20015574456569, -71.58499759002045 -31.20013413039666, -71.58500548472178 -31.20010965598716, -71.58500507325107 -31.20008426950157, -71.58499638836793 -31.20005999170411, -71.58498012139441 -31.20003875510586, -71.58495756718423 -31.20002225013753, -71.58493052105149 -31.20001179059182, -71.58490113586406 -31.20000820904651))",Chile,Shrubland,30.9666666667,Sandy Loam,100,0.8459,62.6166666667
5,553,10,6.608,127.42,35.2583,29.4484,215.7102,1.2776,14.1036,385.582405090332,18.0381925541523,23.4358289957007,0.01,-31.1998,-71.5854,3,2007,2018,"POLYGON ((-71.58540055518205 -31.19970944927593, -71.58539472472719 -31.19970958757696, -71.58536561684507 -31.19971455660215, -71.58533929004727 -31.19972628217588, -71.5853178399432 -31.19974383094477, -71.58530297396082 -31.19976580602959, -71.58529587543561 -31.199790458216, -71.58529710941589 -31.19981582519125, -71.58530657768334 -31.19983988774388, -71.585323526569 -31.19986073049302, -71.58534660694387 -31.19987669435323, -71.58537398160875 -31.19988650859853, -71.58540347153574 -31.199889392013, -71.58543272932033 -31.19988511507623, -71.58545942603675 -31.1998740182333, -71.58548143662235 -31.19985698479511, -71.58549700903384 -31.19983537062608, -71.58550490371022 -31.19981089621657, -71.58550449224083 -31.19978550973099, -71.5854958073851 -31.19976123193352, -71.58547954046297 -31.19973999533528, -71.585456986324 -31.19972349036695, -71.58542994027667 -31.19971303082124, -71.58540055518205 -31.19970944927593))",Chile,Shrubland,35.2583333333,Sandy Loam,100,0.8459,55.7
6,708,8,8.162,453.18,33.4,91.7831,2218.5163,4.0047,26.9856,619.228820800781,0.660545895447423,2.072917215963,5,10.0023,-69.6482,1,2009,2012,"POLYGON ((-69.64820207082619 10.00238874366504, -69.64819700667569 10.00238860536384, -69.64817172448286 10.00238363633273, -69.6481488578608 10.00237191074635, -69.64813022699359 10.00235436196204, -69.6481173148983 10.00233238686384, -69.6481111493769 10.00230773467026, -69.64811222120346 10.00228236769629, -69.64812044505894 10.00225830515299, -69.64813516632313 10.00223746241832, -69.6481552131828 10.0022214985732, -69.64817898990833 10.00221168433891, -69.64820460387347 10.00220880092792, -69.6482300162082 10.00221307785957, -69.64825320409226 10.00222417469036, -69.64827232177105 10.0022412081132, -69.64828584747752 10.00226282226843, -69.6482927045647 10.00228729667003, -69.64829234720705 10.00231268315604, -69.64828480384858 10.00233696096215, -69.64827067493925 10.00235819757454, -69.64825108513962 10.00237470255813, -69.64822759379797 10.00238516211542, -69.64820207082619 10.00238874366504))",Venezuela,Shrubland,33.4,Silt,59.6927422116,0.6559,66.6
7,709,9,7.936,930.428,43.525,87.4578,2011.7208,4.2956,30.937,619.228820800781,0.660545895447423,2.072917215963,5,10.0024,-69.6481,1,2009,2012,"POLYGON ((-69.64809951150195 10.00249130298926, -69.64809444734985 10.00249116468807, -69.64806916514905 10.00248619565696, -69.64804629851976 10.00247447007058, -69.64802766764667 10.00245692128627, -69.64801475554729 10.00243494618806, -69.64800859002396 10.00241029399449, -69.64800966185086 10.00238492702051, -69.64801788570892 10.00236086447722, -69.64803260697775 10.00234002174255, -69.64805265384378 10.00232405789743, -69.64807643057681 10.00231424366314, -69.64810204455003 10.00231136025215, -69.64812745689279 10.0023156371838, -69.64815064478417 10.00232673401459, -69.64816976246898 10.00234376743743, -69.64818328817974 10.00236538159266, -69.64819014526908 10.00238985599426, -69.64818978791131 10.00241524248027, -69.64818224455045 10.00243952028638, -69.64816811563668 10.00246075689877, -69.64814852583085 10.00247726188236, -69.64812503448179 10.00248772143964, -69.64809951150195 10.00249130298926))",Venezuela,Shrubland,43.525,Silt,100,0.6559,56.475
8,710,12,7.188,106.2,59.75,36.7801,630.0639,1.8495,17.7069,704.830383300781,3.37674636731956,91.6894711316589,0.01,9.7677,-69.8209,1,2009,2012,"POLYGON ((-69.82089859552509 9.767790978142196, -69.82089353498662 9.767790839840998, -69.8208682708264 9.767785870809924, -69.820845420514 9.767774145223612, -69.82082680293519 9.767756596439384, -69.82081390004934 9.767734621341249, -69.82080773892535 9.76770996914771, -69.82080880998726 9.767684602173734, -69.82081702797696 9.767660539630388, -69.82083173874118 9.767639696895641, -69.82085177130254 9.767623733050437, -69.82087553106949 9.767613918816087, -69.8209011267657 9.767611035405082, -69.82092652097532 9.767615312336755, -69.82094969232078 9.76762640916761, -69.82096879636397 9.767643442590531, -69.82098231242318 9.767665056745841, -69.82098916461943 9.767689531147481, -69.82098880751649 9.767714917633487, -69.82098126953815 9.767739195439553, -69.82096715070617 9.767760432051869, -69.82094757487893 9.767776937035372, -69.82092410029253 9.767787396592599, -69.82089859552509 9.767790978142196))",Venezuela,Shrubland,59.75,Sandy Loam,100,0.588,40.25
9,711,13,7.314,38.074,52.1,38.9468,506.7913,1.6012,16.4579,701.887023925781,2.58034806212915,76.614930919872,0.01,9.768,-69.8208,1,2009,2012,"POLYGON ((-69.82080049530192 9.768089737912778, -69.82079543475889 9.768089599611582, -69.820770170576 9.768084630580505, -69.82074732024309 9.768072904994195, -69.82072870264757 9.768055356209965, -69.82071579975013 9.768033381111833, -69.8207096386206 9.768008728918293, -69.82071070968347 9.767983361944317, -69.82071892768055 9.767959299400967, -69.82073363845798 9.767938456666222, -69.82075367103732 9.767922492821022, -69.8207774308256 9.76791267858667, -69.82080302654478 9.767909795175665, -69.8208284207772 9.767914072107336, -69.82085159214346 9.767925168938193, -69.82087069620378 9.767942202361112, -69.82088421227515 9.767963816516422, -69.82089106447754 9.767988290918067, -69.82089070737429 9.76801367740407, -69.82088316938918 9.768037955210135, -69.82086905054452 9.76805919182245, -69.8208494746997 9.768075696805953, -69.82082600009223 9.76808615636318, -69.82080049530192 9.768089737912778))",Venezuela,Shrubland,52.1,Sandy Loam,100,0.588,47.9
